period_type,hour,crime_count,is_peak,month,display,year,pct_change,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TIME_BLOCK,OCC_DOW,MCI_CATEGORY,count
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Sunday,Other Crimes,9072.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Sunday,Theft Over,362.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Thursday,Crimes Against Person,8869.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Thursday,Other Crimes,9052.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Thursday,Theft Over,325.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Tuesday,Crimes Against Person,8056.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Tuesday,Other Crimes,8888.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Tuesday,Theft Over,314.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Wednesday,Crimes Against Person,8651.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Wednesday,Other Crimes,8867.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-07h,Wednesday,Theft Over,359.0
